,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
3627,Europe,Georgia,Clothes,Online,L,19-04-2015,158814084,20-04-2015,5472,109.28,35.84,597980.16,196116.48,401863.68
14402,Europe,Georgia,Vegetables,Online,H,19-04-2015,115126693,30-05-2015,7402,154.06,90.93,1140352.12,673063.86,467288.26
15976,Europe,Georgia,Clothes,Online,L,19-04-2015,158814084,20-04-2015,5472,109.28,35.84,597980.16,196116.48,401863.68
25491,Europe,Georgia,Vegetables,Online,H,19-04-2015,115126693,30-05-2015,7402,154.06,90.93,1140352.12,673063.86,467288.26
30484,Europe,Georgia,Clothes,Online,L,19-04-2015,158814084,20-04-2015,5472,109.28,35.84,597980.16,196116.48,401863.68
7696,Europe,Germany,Fruits,Offline,H,19-04-2015,202501475,01-05-2015,3541,9.33,6.92,33037.53,24503.72,8533.81
9431,Europe,Germany,Household,Offline,L,19-04-2015,246188867,11-05-2015,1611,668.27,502.54,1076582.97,809591.94,266991.03
20384,Europe,Germany,Fruits,Offline,H,19-04-2015,202501475,01-05-2015,3541,9.33,6.92,33037.53,24503.72,8533.81
22119,Europe,Germany,Household,Offline,L,19-04-2015,246188867,11-05-2015,1611,668.27,502.54,1076582.97,809591.94,266991.03
33096,Europe,Germany,Fruits,Offline,H,19-04-2015,202501475,01-05-2015,3541,9.33,6.92,33037.53,24503.72,8533.81
34831,Europe,Germany,Household,Offline,L,19-04-2015,246188867,11-05-2015,1611,668.27,502.54,1076582.97,809591.94,266991.03
2940,Europe,Greece,Fruits,Offline,C,19-04-2015,817746150,26-04-2015,8113,9.33,6.92,75694.29,56141.96,19552.33
9790,Europe,Greece,Snacks,Online,M,19-04-2015,774058759,05-06-2015,43,152.58,97.44,6560.94,4189.92,2371.02
10231,Europe,Greece,Household,Offline,M,19-04-2015,861433541,06-05-2015,6183,668.27,502.54,4131913.41,3107204.82,1024708.59
13668,Europe,Greece,Vegetables,Online,C,19-04-2015,730371367,25-05-2015,1973,154.06,90.93,303960.38,179404.89,124555.49
22478,Europe,Greece,Snacks,Online,M,19-04-2015,774058759,05-06-2015,43,152.58,97.44,6560.94,4189.92,2371.02
22919,Europe,Greece,Household,Offline,M,19-04-2015,861433541,06-05-2015,6183,668.27,502.54,4131913.41,3107204.82,1024708.59
24757,Europe,Greece,Vegetables,Online,C,19-04-2015,730371367,25-05-2015,1973,154.06,90.93,303960.38,179404.89,124555.49
29797,Europe,Greece,Fruits,Offline,C,19-04-2015,817746150,26-04-2015,8113,9.33,6.92,75694.29,56141.96,19552.33
35190,Europe,Greece,Snacks,Online,M,19-04-2015,774058759,05-06-2015,43,152.58,97.44,6560.94,4189.92,2371.02
35631,Europe,Greece,Household,Offline,M,19-04-2015,861433541,06-05-2015,6183,668.27,502.54,4131913.41,3107204.82,1024708.59
271,Europe,Hungary,Fruits,Offline,M,19-04-2015,532990825,20-04-2015,2684,9.33,6.92,25041.72,18573.28,6468.44
1638,Europe,Hungary,Office Supplies,Online,L,19-04-2015,445616042,20-05-2015,6544,651.21,524.96,4261518.24,3435338.24,826180.0
4657,Europe,Hungary,Clothes,Offline,C,19-04-2015,576678216,01-05-2015,754,109.28,35.84,82397.12,27023.36,55373.76
11634,Europe,Hungary,Snacks,Offline,H,19-04-2015,489303433,31-05-2015,4614,152.58,97.44,704004.12,449588.16,254415.96
17006,Europe,Hungary,Clothes,Offline,C,19-04-2015,576678216,01-05-2015,754,109.28,35.84,82397.12,27023.36,55373.76
27128,Europe,Hungary,Fruits,Offline,M,19-04-2015,532990825,20-04-2015,2684,9.33,6.92,25041.72,18573.28,6468.44
28495,Europe,Hungary,Office Supplies,Online,L,19-04-2015,445616042,20-05-2015,6544,651.21,524.96,4261518.24,3435338.24,826180.0
37034,Europe,Hungary,Snacks,Offline,H,19-04-2015,489303433,31-05-2015,4614,152.58,97.44,704004.12,449588.16,254415.96
1186,Europe,Iceland,Snacks,Offline,L,19-04-2015,204548108,26-05-2015,9186,152.58,97.44,1401599.88,895083.84,506516.04
1760,Europe,Iceland,Office Supplies,Online,H,19-04-2015,160860717,15-05-2015,1116,651.21,524.96,726750.36,585855.36,140895.0
7697,Europe,Iceland,Vegetables,Offline,H,19-04-2015,248235499,05-06-2015,7255,154.06,90.93,1117705.3,659697.15,458008.15
20385,Europe,Iceland,Vegetables,Offline,H,19-04-2015,248235499,05-06-2015,7255,154.06,90.93,1117705.3,659697.15,458008.15
28043,Europe,Iceland,Snacks,Offline,L,19-04-2015,204548108,26-05-2015,9186,152.58,97.44,1401599.88,895083.84,506516.04
28617,Europe,Iceland,Office Supplies,Online,H,19-04-2015,160860717,15-05-2015,1116,651.21,524.96,726750.36,585855.36,140895.0
33097,Europe,Iceland,Vegetables,Offline,H,19-04-2015,248235499,05-06-2015,7255,154.06,90.93,1117705.3,659697.15,458008.15
6332,Europe,Ireland,Office Supplies,Offline,C,19-04-2015,776105391,10-05-2015,5687,651.21,524.96,3703431.27,2985447.52,717983.75
18681,Europe,Ireland,Office Supplies,Offline,C,19-04-2015,776105391,10-05-2015,5687,651.21,524.96,3703431.27,2985447.52,717983.75
31393,Europe,Ireland,Office Supplies,Offline,C,19-04-2015,776105391,10-05-2015,5687,651.21,524.96,3703431.27,2985447.52,717983.75
1819,Europe,Italy,Beverages,Offline,M,19-04-2015,819792783,20-05-2015,3757,47.45,31.79,178269.65,119435.03,58834.62
2218,Europe,Italy,Vegetables,Offline,C,19-04-2015,863480174,31-05-2015,1827,154.06,90.93,281467.62,166129.11,115338.51
28676,Europe,Italy,Beverages,Offline,M,19-04-2015,819792783,20-05-2015,3757,47.45,31.79,178269.65,119435.03,58834.62
29075,Europe,Italy,Vegetables,Offline,C,19-04-2015,863480174,31-05-2015,1827,154.06,90.93,281467.62,166129.11,115338.51
5888,Europe,Kosovo,Beverages,Offline,H,19-04-2015,535037457,15-05-2015,8328,47.45,31.79,395163.6,264747.12,130416.48
6832,Europe,Kosovo,Vegetables,Offline,L,19-04-2015,578724849,26-05-2015,6398,154.06,90.93,985675.88,581770.14,403905.74
7355,Europe,Kosovo,Meat,Offline,L,19-04-2015,491350066,04-05-2015,258,421.89,364.69,108847.62,94090.02,14757.6
18237,Europe,Kosovo,Beverages,Offline,H,19-04-2015,535037457,15-05-2015,8328,47.45,31.79,395163.6,264747.12,130416.48
19181,Europe,Kosovo,Vegetables,Offline,L,19-04-2015,578724849,26-05-2015,6398,154.06,90.93,985675.88,581770.14,403905.74
19704,Europe,Kosovo,Meat,Offline,L,19-04-2015,491350066,04-05-2015,258,421.89,364.69,108847.62,94090.02,14757.6
30949,Europe,Kosovo,Beverages,Offline,H,19-04-2015,535037457,15-05-2015,8328,47.45,31.79,395163.6,264747.12,130416.48
31893,Europe,Kosovo,Vegetables,Offline,L,19-04-2015,578724849,26-05-2015,6398,154.06,90.93,985675.88,581770.14,403905.74
32416,Europe,Kosovo,Meat,Offline,L,19-04-2015,491350066,04-05-2015,258,421.89,364.69,108847.62,94090.02,14757.6
5427,Europe,Latvia,Beverages,Offline,C,19-04-2015,250282132,10-05-2015,2900,47.45,31.79,137605.0,92191.0,45414.0
12423,Europe,Latvia,Meat,Offline,M,19-04-2015,206594741,29-04-2015,4830,421.89,364.69,2037728.7,1761452.7,276276.0
13550,Europe,Latvia,Office Supplies,Online,M,19-04-2015,293969523,21-05-2015,969,651.21,524.96,631022.49,508686.24,122336.25
17776,Europe,Latvia,Beverages,Offline,C,19-04-2015,250282132,10-05-2015,2900,47.45,31.79,137605.0,92191.0,45414.0
23512,Europe,Latvia,Meat,Offline,M,19-04-2015,206594741,29-04-2015,4830,421.89,364.69,2037728.7,1761452.7,276276.0
24639,Europe,Latvia,Office Supplies,Online,M,19-04-2015,293969523,21-05-2015,969,651.21,524.96,631022.49,508686.24,122336.25
37823,Europe,Latvia,Meat,Offline,M,19-04-2015,206594741,29-04-2015,4830,421.89,364.69,2037728.7,1761452.7,276276.0
163,Europe,Liechtenstein,Cereal,Offline,L,19-04-2015,778152024,03-06-2015,1331,205.7,117.11,273786.7,155873.41,117913.29
14310,Europe,Liechtenstein,Meat,Offline,H,19-04-2015,821839416,24-04-2015,9401,421.89,364.69,3966187.89,3428450.69,537737.2
25399,Europe,Liechtenstein,Meat,Offline,H,19-04-2015,821839416,24-04-2015,9401,421.89,364.69,3966187.89,3428450.69,537737.2
27020,Europe,Liechtenstein,Cereal,Offline,L,19-04-2015,778152024,03-06-2015,1331,205.7,117.11,273786.7,155873.41,117913.29
8121,Europe,Lithuania,Beverages,Offline,L,19-04-2015,865526807,05-05-2015,7471,47.45,31.79,354498.95,237503.09,116995.86
15003,Europe,Lithuania,Office Supplies,Online,H,19-04-2015,909214198,15-05-2015,5541,651.21,524.96,3608354.61,2908803.36,699551.25
20809,Europe,Lithuania,Beverages,Offline,L,19-04-2015,865526807,05-05-2015,7471,47.45,31.79,354498.95,237503.09,116995.86
26092,Europe,Lithuania,Office Supplies,Online,H,19-04-2015,909214198,15-05-2015,5541,651.21,524.96,3608354.61,2908803.36,699551.25
33521,Europe,Lithuania,Beverages,Offline,L,19-04-2015,865526807,05-05-2015,7471,47.45,31.79,354498.95,237503.09,116995.86
3163,Europe,Luxembourg,Office Supplies,Online,L,19-04-2015,624458873,10-05-2015,112,651.21,524.96,72935.52,58795.52,14140.0
4752,Europe,Luxembourg,Meat,Offline,L,19-04-2015,537084090,19-04-2015,3972,421.89,364.69,1675747.08,1448548.68,227198.4
6817,Europe,Luxembourg,Baby Food,Online,H,19-04-2015,580771481,30-04-2015,2042,255.28,159.42,521281.76,325535.64,195746.12
15512,Europe,Luxembourg,Office Supplies,Online,L,19-04-2015,624458873,10-05-2015,112,651.21,524.96,72935.52,58795.52,14140.0
17101,Europe,Luxembourg,Meat,Offline,L,19-04-2015,537084090,19-04-2015,3972,421.89,364.69,1675747.08,1448548.68,227198.4
19166,Europe,Luxembourg,Baby Food,Online,H,19-04-2015,580771481,30-04-2015,2042,255.28,159.42,521281.76,325535.64,195746.12
20023,Europe,Luxembourg,Cereal,Offline,H,19-04-2015,493396699,29-05-2015,5902,205.7,117.11,1214041.4,691183.22,522858.18
30020,Europe,Luxembourg,Office Supplies,Online,L,19-04-2015,624458873,10-05-2015,112,651.21,524.96,72935.52,58795.52,14140.0
31878,Europe,Luxembourg,Baby Food,Online,H,19-04-2015,580771481,30-04-2015,2042,255.28,159.42,521281.76,325535.64,195746.12
32735,Europe,Luxembourg,Cereal,Offline,H,19-04-2015,493396699,29-05-2015,5902,205.7,117.11,1214041.4,691183.22,522858.18
1402,Europe,Macedonia,Office Supplies,Online,M,19-04-2015,339703547,05-05-2015,4684,651.21,524.96,3050267.64,2458912.64,591355.0
4530,Europe,Macedonia,Cereal,Offline,C,19-04-2015,208641374,24-05-2015,474,205.7,117.11,97501.8,55510.14,41991.66
7478,Europe,Macedonia,Personal Care,Offline,M,19-04-2015,252328765,04-06-2015,8544,81.73,56.67,698301.12,484188.48,214112.64
8269,Europe,Macedonia,Baby Food,Online,C,19-04-2015,296016156,24-04-2015,6614,255.28,159.42,1688421.92,1054403.88,634018.04
16879,Europe,Macedonia,Cereal,Offline,C,19-04-2015,208641374,24-05-2015,474,205.7,117.11,97501.8,55510.14,41991.66
19827,Europe,Macedonia,Personal Care,Offline,M,19-04-2015,252328765,04-06-2015,8544,81.73,56.67,698301.12,484188.48,214112.64
20957,Europe,Macedonia,Baby Food,Online,C,19-04-2015,296016156,24-04-2015,6614,255.28,159.42,1688421.92,1054403.88,634018.04
28259,Europe,Macedonia,Office Supplies,Online,M,19-04-2015,339703547,05-05-2015,4684,651.21,524.96,3050267.64,2458912.64,591355.0
32539,Europe,Macedonia,Personal Care,Offline,M,19-04-2015,252328765,04-06-2015,8544,81.73,56.67,698301.12,484188.48,214112.64
33669,Europe,Macedonia,Baby Food,Online,C,19-04-2015,296016156,24-04-2015,6614,255.28,159.42,1688421.92,1054403.88,634018.04
14309,Europe,Malta,Personal Care,Online,H,19-04-2015,867573440,30-05-2015,3115,81.73,56.67,254588.95,176527.05,78061.9
14682,Europe,Malta,Cosmetics,Offline,L,19-04-2015,823886048,19-05-2015,5045,437.2,263.33,2205674.0,1328499.85,877174.15
25398,Europe,Malta,Personal Care,Online,H,19-04-2015,867573440,30-05-2015,3115,81.73,56.67,254588.95,176527.05,78061.9
25771,Europe,Malta,Cosmetics,Offline,L,19-04-2015,823886048,19-05-2015,5045,437.2,263.33,2205674.0,1328499.85,877174.15
2132,Europe,Moldova ,Meat,Online,H,19-04-2015,954948222,30-04-2015,9255,421.89,364.69,3904591.95,3375205.95,529386.0
5732,Europe,Moldova ,Baby Food,Online,L,19-04-2015,911260831,19-04-2015,1185,255.28,159.42,302506.8,188912.7,113594.1
18081,Europe,Moldova ,Baby Food,Online,L,19-04-2015,911260831,19-04-2015,1185,255.28,159.42,302506.8,188912.7,113594.1
28989,Europe,Moldova ,Meat,Online,H,19-04-2015,954948222,30-04-2015,9255,421.89,364.69,3904591.95,3375205.95,529386.0
30793,Europe,Moldova ,Baby Food,Online,L,19-04-2015,911260831,19-04-2015,1185,255.28,159.42,302506.8,188912.7,113594.1
2059,Europe,Monaco,Personal Care,Online,C,19-04-2015,582818114,24-05-2015,7686,81.73,56.67,628176.78,435565.62,192611.16
6401,Europe,Monaco,Cereal,Online,M,19-04-2015,626505506,04-06-2015,5756,205.7,117.11,1184009.2,674085.16,509924.04
12972,Europe,Monaco,Meat,Online,C,19-04-2015,670192897,25-04-2015,3826,421.89,364.69,1614151.14,1395303.94,218847.2
14438,Europe,Monaco,Cosmetics,Offline,M,19-04-2015,539130723,14-05-2015,9616,437.2,263.33,4204115.2,2532181.28,1671933.92
18750,Europe,Monaco,Cereal,Online,M,19-04-2015,626505506,04-06-2015,5756,205.7,117.11,1184009.2,674085.16,509924.04
24061,Europe,Monaco,Meat,Online,C,19-04-2015,670192897,25-04-2015,3826,421.89,364.69,1614151.14,1395303.94,218847.2
25527,Europe,Monaco,Cosmetics,Offline,M,19-04-2015,539130723,14-05-2015,9616,437.2,263.33,4204115.2,2532181.28,1671933.92
28916,Europe,Monaco,Personal Care,Online,C,19-04-2015,582818114,24-05-2015,7686,81.73,56.67,628176.78,435565.62,192611.16
31462,Europe,Monaco,Cereal,Online,M,19-04-2015,626505506,04-06-2015,5756,205.7,117.11,1184009.2,674085.16,509924.04
38372,Europe,Monaco,Meat,Online,C,19-04-2015,670192897,25-04-2015,3826,421.89,364.69,1614151.14,1395303.94,218847.2
2494,Europe,Montenegro,Cereal,Online,H,19-04-2015,341750180,30-05-2015,328,205.7,117.11,67469.6,38412.08,29057.52
9702,Europe,Montenegro,Household,Online,L,19-04-2015,298062789,19-05-2015,2258,668.27,502.54,1508953.66,1134735.32,374218.34
10538,Europe,Montenegro,Meat,Offline,L,19-04-2015,385437572,20-04-2015,8398,421.89,364.69,3543032.22,3062666.62,480365.6
11598,Europe,Montenegro,Cosmetics,Online,H,19-04-2015,254375398,09-05-2015,4188,437.2,263.33,1830993.6,1102826.04,728167.56
22390,Europe,Montenegro,Household,Online,L,19-04-2015,298062789,19-05-2015,2258,668.27,502.54,1508953.66,1134735.32,374218.34
29351,Europe,Montenegro,Cereal,Online,H,19-04-2015,341750180,30-05-2015,328,205.7,117.11,67469.6,38412.08,29057.52
35102,Europe,Montenegro,Household,Online,L,19-04-2015,298062789,19-05-2015,2258,668.27,502.54,1508953.66,1134735.32,374218.34
35938,Europe,Montenegro,Meat,Offline,L,19-04-2015,385437572,20-04-2015,8398,421.89,364.69,3543032.22,3062666.62,480365.6
36998,Europe,Montenegro,Cosmetics,Online,H,19-04-2015,254375398,09-05-2015,4188,437.2,263.33,1830993.6,1102826.04,728167.56
14095,Europe,Netherlands,Household,Online,H,19-04-2015,913307464,14-05-2015,6829,668.27,502.54,4563615.83,3431845.66,1131770.17
14235,Europe,Netherlands,Fruits,Online,L,19-04-2015,869620072,03-05-2015,8759,9.33,6.92,81721.47,60612.28,21109.19
25184,Europe,Netherlands,Household,Online,H,19-04-2015,913307464,14-05-2015,6829,668.27,502.54,4563615.83,3431845.66,1131770.17
25324,Europe,Netherlands,Fruits,Online,L,19-04-2015,869620072,03-05-2015,8759,9.33,6.92,81721.47,60612.28,21109.19
1939,Europe,Norway,Cereal,Online,L,19-04-2015,956994855,25-05-2015,4899,205.7,117.11,1007724.3,573721.89,434002.41
2788,Europe,Norway,Personal Care,Offline,H,19-04-2015,100682246,04-06-2015,2969,81.73,56.67,242656.37,168253.23,74403.14
28796,Europe,Norway,Cereal,Online,L,19-04-2015,956994855,25-05-2015,4899,205.7,117.11,1007724.3,573721.89,434002.41
29645,Europe,Norway,Personal Care,Offline,H,19-04-2015,100682246,04-06-2015,2969,81.73,56.67,242656.37,168253.23,74403.14
7152,Europe,Poland,Household,Online,C,19-04-2015,628552138,09-05-2015,1400,668.27,502.54,935578.0,703556.0,232022.0
12544,Europe,Poland,Cosmetics,Offline,M,19-04-2015,672239530,20-05-2015,9470,437.2,263.33,4140284.0,2493735.1,1646548.9
12892,Europe,Poland,Personal Care,Offline,C,19-04-2015,715926921,30-05-2015,7540,81.73,56.67,616244.2,427291.8,188952.4
14259,Europe,Poland,Fruits,Online,M,19-04-2015,584864747,28-04-2015,3330,9.33,6.92,31068.9,23043.6,8025.3
19501,Europe,Poland,Household,Online,C,19-04-2015,628552138,09-05-2015,1400,668.27,502.54,935578.0,703556.0,232022.0
23633,Europe,Poland,Cosmetics,Offline,M,19-04-2015,672239530,20-05-2015,9470,437.2,263.33,4140284.0,2493735.1,1646548.9
23981,Europe,Poland,Personal Care,Offline,C,19-04-2015,715926921,30-05-2015,7540,81.73,56.67,616244.2,427291.8,188952.4
25348,Europe,Poland,Fruits,Online,M,19-04-2015,584864747,28-04-2015,3330,9.33,6.92,31068.9,23043.6,8025.3
32213,Europe,Poland,Household,Online,C,19-04-2015,628552138,09-05-2015,1400,668.27,502.54,935578.0,703556.0,232022.0
37944,Europe,Poland,Cosmetics,Offline,M,19-04-2015,672239530,20-05-2015,9470,437.2,263.33,4140284.0,2493735.1,1646548.9
38292,Europe,Poland,Personal Care,Offline,C,19-04-2015,715926921,30-05-2015,7540,81.73,56.67,616244.2,427291.8,188952.4
1999,Europe,Portugal,Personal Care,Offline,L,19-04-2015,431171596,25-05-2015,2112,81.73,56.67,172613.76,119687.04,52926.72
3921,Europe,Portugal,Fruits,Online,H,19-04-2015,300109422,23-04-2015,7902,9.33,6.92,73725.66,54681.84,19043.82
10911,Europe,Portugal,Cosmetics,Offline,H,19-04-2015,387484204,14-05-2015,4042,437.2,263.33,1767162.4,1064379.86,702782.54
12038,Europe,Portugal,Clothes,Online,L,19-04-2015,343796813,04-05-2015,5972,109.28,35.84,652620.16,214036.48,438583.68
16270,Europe,Portugal,Fruits,Online,H,19-04-2015,300109422,23-04-2015,7902,9.33,6.92,73725.66,54681.84,19043.82
23127,Europe,Portugal,Clothes,Online,L,19-04-2015,343796813,04-05-2015,5972,109.28,35.84,652620.16,214036.48,438583.68
28856,Europe,Portugal,Personal Care,Offline,L,19-04-2015,431171596,25-05-2015,2112,81.73,56.67,172613.76,119687.04,52926.72
36311,Europe,Portugal,Cosmetics,Offline,H,19-04-2015,387484204,14-05-2015,4042,437.2,263.33,1767162.4,1064379.86,702782.54
37438,Europe,Portugal,Clothes,Online,L,19-04-2015,343796813,04-05-2015,5972,109.28,35.84,652620.16,214036.48,438583.68
4863,Europe,Romania,Cosmetics,Offline,C,19-04-2015,102728879,09-05-2015,8613,437.2,263.33,3765603.6,2268061.29,1497542.31
5864,Europe,Romania,Clothes,Offline,M,19-04-2015,959041488,28-04-2015,543,109.28,35.84,59339.04,19461.12,39877.92
6858,Europe,Romania,Vegetables,Online,C,19-04-2015,915354096,08-06-2015,2473,154.06,90.93,380990.38,224869.89,156120.49
17212,Europe,Romania,Cosmetics,Offline,C,19-04-2015,102728879,09-05-2015,8613,437.2,263.33,3765603.6,2268061.29,1497542.31
18213,Europe,Romania,Clothes,Offline,M,19-04-2015,959041488,28-04-2015,543,109.28,35.84,59339.04,19461.12,39877.92
19207,Europe,Romania,Vegetables,Online,C,19-04-2015,915354096,08-06-2015,2473,154.06,90.93,380990.38,224869.89,156120.49
30925,Europe,Romania,Clothes,Offline,M,19-04-2015,959041488,28-04-2015,543,109.28,35.84,59339.04,19461.12,39877.92
31919,Europe,Romania,Vegetables,Online,C,19-04-2015,915354096,08-06-2015,2473,154.06,90.93,380990.38,224869.89,156120.49
8960,Europe,Russia,Household,Offline,M,19-04-2015,146416270,20-05-2015,6683,668.27,502.54,4466048.41,3358474.82,1107573.59
21648,Europe,Russia,Household,Offline,M,19-04-2015,146416270,20-05-2015,6683,668.27,502.54,4466048.41,3358474.82,1107573.59
34360,Europe,Russia,Household,Offline,M,19-04-2015,146416270,20-05-2015,6683,668.27,502.54,4466048.41,3358474.82,1107573.59
2081,Europe,San Marino,Fruits,Offline,L,19-04-2015,717973554,04-05-2015,3184,9.33,6.92,29706.72,22033.28,7673.44
10641,Europe,San Marino,Household,Online,H,19-04-2015,761660945,15-05-2015,1254,668.27,502.54,838010.58,630185.16,207825.42
11710,Europe,San Marino,Clothes,Offline,H,19-04-2015,674286162,23-04-2015,5114,109.28,35.84,558857.92,183285.76,375572.16
14866,Europe,San Marino,Vegetables,Offline,L,19-04-2015,630598771,03-06-2015,7045,154.06,90.93,1085352.7,640601.85,444750.85
25955,Europe,San Marino,Vegetables,Offline,L,19-04-2015,630598771,03-06-2015,7045,154.06,90.93,1085352.7,640601.85,444750.85
28938,Europe,San Marino,Fruits,Offline,L,19-04-2015,717973554,04-05-2015,3184,9.33,6.92,29706.72,22033.28,7673.44
36041,Europe,San Marino,Household,Online,H,19-04-2015,761660945,15-05-2015,1254,668.27,502.54,838010.58,630185.16,207825.42
37110,Europe,San Marino,Clothes,Offline,H,19-04-2015,674286162,23-04-2015,5114,109.28,35.84,558857.92,183285.76,375572.16
4782,Europe,Serbia,Vegetables,Offline,H,19-04-2015,345843446,28-05-2015,1616,154.06,90.93,248960.96,146942.88,102018.08
6416,Europe,Serbia,Clothes,Offline,L,19-04-2015,389530837,08-06-2015,9686,109.28,35.84,1058486.08,347146.24,711339.84
10390,Europe,Serbia,Fruits,Offline,H,19-04-2015,433218228,29-04-2015,7756,9.33,6.92,72363.48,53671.52,18691.96
14745,Europe,Serbia,Household,Online,L,19-04-2015,476905620,09-05-2015,5826,668.27,502.54,3893341.02,2927798.04,965542.98
17131,Europe,Serbia,Vegetables,Offline,H,19-04-2015,345843446,28-05-2015,1616,154.06,90.93,248960.96,146942.88,102018.08
18765,Europe,Serbia,Clothes,Offline,L,19-04-2015,389530837,08-06-2015,9686,109.28,35.84,1058486.08,347146.24,711339.84
25834,Europe,Serbia,Household,Online,L,19-04-2015,476905620,09-05-2015,5826,668.27,502.54,3893341.02,2927798.04,965542.98
31477,Europe,Serbia,Clothes,Offline,L,19-04-2015,389530837,08-06-2015,9686,109.28,35.84,1058486.08,347146.24,711339.84
35790,Europe,Serbia,Fruits,Offline,H,19-04-2015,433218228,29-04-2015,7756,9.33,6.92,72363.48,53671.52,18691.96
6681,Europe,Slovakia,Fruits,Online,C,19-04-2015,148462903,24-04-2015,2327,9.33,6.92,21710.91,16102.84,5608.07
13032,Europe,Slovakia,Snacks,Offline,M,19-04-2015,104775512,03-06-2015,4257,152.58,97.44,649533.06,414802.08,234730.98
19030,Europe,Slovakia,Fruits,Online,C,19-04-2015,148462903,24-04-2015,2327,9.33,6.92,21710.91,16102.84,5608.07
24121,Europe,Slovakia,Snacks,Offline,M,19-04-2015,104775512,03-06-2015,4257,152.58,97.44,649533.06,414802.08,234730.98
26809,Europe,Slovakia,Vegetables,Offline,C,19-04-2015,961088120,23-05-2015,6187,154.06,90.93,953169.22,562583.91,390585.31
31742,Europe,Slovakia,Fruits,Online,C,19-04-2015,148462903,24-04-2015,2327,9.33,6.92,21710.91,16102.84,5608.07
8207,Europe,Slovenia,Office Supplies,Offline,L,19-04-2015,676332795,18-05-2015,759,651.21,524.96,494268.39,398444.64,95823.75
13200,Europe,Slovenia,Household,Online,M,19-04-2015,192150294,04-05-2015,397,668.27,502.54,265303.19,199508.38,65794.81
20895,Europe,Slovenia,Office Supplies,Offline,L,19-04-2015,676332795,18-05-2015,759,651.21,524.96,494268.39,398444.64,95823.75
24289,Europe,Slovenia,Household,Online,M,19-04-2015,192150294,04-05-2015,397,668.27,502.54,265303.19,199508.38,65794.81
33607,Europe,Slovenia,Office Supplies,Offline,L,19-04-2015,676332795,18-05-2015,759,651.21,524.96,494268.39,398444.64,95823.75
8338,Europe,Spain,Snacks,Offline,H,19-04-2015,720020186,29-05-2015,8828,152.58,97.44,1346976.24,860200.32,486775.92
13842,Europe,Spain,Fruits,Online,L,19-04-2015,763707578,08-06-2015,6898,9.33,6.92,64358.34,47734.16,16624.18
14184,Europe,Spain,Clothes,Online,H,19-04-2015,807394969,29-04-2015,4968,109.28,35.84,542903.04,178053.12,364849.92
21026,Europe,Spain,Snacks,Offline,H,19-04-2015,720020186,29-05-2015,8828,152.58,97.44,1346976.24,860200.32,486775.92
24931,Europe,Spain,Fruits,Online,L,19-04-2015,763707578,08-06-2015,6898,9.33,6.92,64358.34,47734.16,16624.18
25273,Europe,Spain,Clothes,Online,H,19-04-2015,807394969,29-04-2015,4968,109.28,35.84,542903.04,178053.12,364849.92
33738,Europe,Spain,Snacks,Offline,H,19-04-2015,720020186,29-05-2015,8828,152.58,97.44,1346976.24,860200.32,486775.92
363,Europe,Sweden,Snacks,Online,C,19-04-2015,435264861,24-05-2015,3400,152.58,97.44,518772.0,331296.0,187476.0
6495,Europe,Sweden,Office Supplies,Offline,M,19-04-2015,391577470,13-05-2015,5330,651.21,524.96,3470949.3,2798036.8,672912.5
8657,Europe,Sweden,Vegetables,Online,M,19-04-2015,478952252,03-06-2015,1470,154.06,90.93,226468.2,133667.1,92801.1
18844,Europe,Sweden,Office Supplies,Offline,M,19-04-2015,391577470,13-05-2015,5330,651.21,524.96,3470949.3,2798036.8,672912.5
21345,Europe,Sweden,Vegetables,Online,M,19-04-2015,478952252,03-06-2015,1470,154.06,90.93,226468.2,133667.1,92801.1
27220,Europe,Sweden,Snacks,Online,C,19-04-2015,435264861,24-05-2015,3400,152.58,97.44,518772.0,331296.0,187476.0
31556,Europe,Sweden,Office Supplies,Offline,M,19-04-2015,391577470,13-05-2015,5330,651.21,524.96,3470949.3,2798036.8,672912.5
34057,Europe,Sweden,Vegetables,Online,M,19-04-2015,478952252,03-06-2015,1470,154.06,90.93,226468.2,133667.1,92801.1
1888,Europe,Switzerland,Office Supplies,Offline,H,19-04-2015,106822144,08-05-2015,9901,651.21,524.96,6447630.21,5197628.96,1250001.25
12197,Europe,Switzerland,Beverages,Online,L,19-04-2015,150509536,18-05-2015,7971,47.45,31.79,378223.95,253398.09,124825.86
14961,Europe,Switzerland,Vegetables,Online,H,19-04-2015,194196927,29-05-2015,6041,154.06,90.93,930676.46,549308.13,381368.33
23286,Europe,Switzerland,Beverages,Online,L,19-04-2015,150509536,18-05-2015,7971,47.45,31.79,378223.95,253398.09,124825.86
26050,Europe,Switzerland,Vegetables,Online,H,19-04-2015,194196927,29-05-2015,6041,154.06,90.93,930676.46,549308.13,381368.33
28745,Europe,Switzerland,Office Supplies,Offline,H,19-04-2015,106822144,08-05-2015,9901,651.21,524.96,6447630.21,5197628.96,1250001.25
37597,Europe,Switzerland,Beverages,Online,L,19-04-2015,150509536,18-05-2015,7971,47.45,31.79,378223.95,253398.09,124825.86
